Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/4/30,355,6913,3190,7209,1877,48829,14758,26767,4106,4655,33192,25834,141,612,6841,1983,50350,17166,3836,4526,27659,60265,20846,1055,40394,4643,7637,,6561,451,6213,10180,1033,3851,2058,117052,3213,1540,4935,306443,17299,3473,2446,46458,1433,8244,5881,2373,10365,27301,1066314,4495,14960,,861,14710,6520,1108,543
2020/5/1,355,7047,3272,7655,2035,50411,15284,27700,4323,4734,33690,26369,145,617,7142,2013,52907,17817,4411,4693,27998,62205,21742,1095,41346,5135,7802,,6814,452,6962,10754,1067,4279,2146,119419,3411,1977,5054,311344,18018,3617,2510,48130,1539,8620,6095,2449,10733,28621,1097824,4672,15843,,865,14986,6853,1125,557
2020/5/2,364,7293,3308,7968,2185,52238,15771,28764,4658,4918,34728,27693,145,618,7878,2034,56048,18629,4632,4867,28704,64311,23472,1123,42337,5725,8055,,7210,452,6962,11070,1107,5008,2310,121954,3513,1977,5248,315480,18736,3748,2578,49576,1575,8962,6254,2524,11890,29820,1132730,4828,16898,,878,15263,7313,1152,564
2020/5/3,365,7610,3363,8364,2268,53671,16225,29287,4797,5038,35462,28442,145,618,8634,2061,58499,19293,4885,4867,29138,66263,24480,1152,43188,6215,8327,,7438,454,6962,11586,1153,5315,2429,124540,3732,1977,5389,319467,19333,3851,2635,50489,1757,9289,6485,2587,12660,31038,1161270,4981,17732,,885,15520,7660,1183,578
2020/5/4,368,7883,3428,8640,2276,54924,16635,29287,5016,5208,36078,28661,145,619,9168,2079,61484,19930,5155,5115,29338,68087,25462,1185,43751,6660,8585,,7550,454,6962,11768,1191,5661,2518,127310,3849,1977,5472,322556,19912,3971,2680,51935,1808,9477,6617,2630,13177,31879,1186321,5173,18665,,897,15758,7964,1193,585
2020/5/5,370,8108,3464,8924,2340,56168,16918,29973,5170,5288,36892,29359,145,619,9701,2106,63829,20502,5383,5239,29671,69087,26389,1205,43988,7233,8924,,7876,455,6962,11969,1225,6083,2588,128942,4029,1977,5627,325470,20473,4043,2759,52808,1843,9652,6748,2667,13563,32731,1209194,5316,19483,,902,16094,8236,1220,595
2020/5/6,371,8430,3524,9304,2425,58683,17367,30621,5322,5371,37429,29944,145,624,10107,2127,65957,21028,5647,5812,29995,70271,27116,1226,44448,7851,9107,,8207,455,7526,12509,1266,6438,2636,131165,4136,2559,5660,327503,20968,4123,2838,53856,1924,9933,6836,2720,13640,33755,1234243,5449,20252,,905,16317,8565,1239,603
2020/5/7,372,8691,3610,9706,2465,60616,17832,30995,5461,5778,38010,30723,149,625,10401,2158,68227,21865,5993,5932,30397,72024,28163,1254,45178,8577,9302,,8424,455,7604,13051,1322,6771,2741,132418,4287,2654,5744,330990,21574,4198,2915,54789,1968,10205,6935,2778,13932,34881,1259764,5595,20252,,908,16639,8899,1239,630
2020/5/8,374,9046,3693,9953,3011,62360,18371,31783,5654,5939,38828,31585,149,627,11052,2178,70868,22499,6332,6120,30650,73721,29373,1330,45682,9363,9555,,8686,455,7702,13538,1370,7190,2843,133766,4490,2757,5855,334106,22129,4325,2987,55944,2031,10530,7139,2905,14094,36044,1287912,5724,21567,,915,16846,9215,1283,634
2020/5/9,377,9384,3746,10526,3447,64520,18827,32411,5899,6111,39196,32149,151,627,11447,2205,73756,23144,6666,6285,30853,75333,30459,1374,46382,10085,9738,,9089,457,7826,14004,1424,7831,2946,135507,4660,2876,5920,336745,23015,4416,3066,57359,2156,10779,7364,3144,14438,37384,1316386,5919,22337,,917,17064,9590,1321,643
2020/5/10,378,9667,3746,10960,3695,66763,19387,32984,6102,6277,39998,32581,151,629,11666,2230,76081,23730,6828,6435,31406,76743,31534,1408,46801,10785,9899,,9367,458,7826,14475,1463,8234,3011,137161,4778,2973,6049,339307,23688,4479,3157,58548,2173,10989,7528,3392,14765,38406,1341553,6103,23189,,920,17202,9938,1321,652
2020/5/11,379,9886,4011,11126,3695,67875,19712,33554,6272,6447,40593,33779,151,630,11955,2230,77733,24122,6947,6435,31590,77793,32587,1436,47167,11265,10055,,9499,458,7826,14936,1489,8315,3071,138413,4863,2973,6120,341295,24076,4577,3224,59925,2198,11274,7649,3516,14984,39245,1361485,6251,24073,,926,17386,10217,1354,661
2020/5/12,379,10161,4038,11382,3744,69347,19897,33765,6389,6565,40979,33954,151,632,12363,2260,79002,24611,7156,6672,31805,78462,33373,1462,47544,11794,10154,,9674,459,8046,15270,1515,8572,3159,139615,5064,3204,6154,342813,24771,4603,3282,60446,2256,11441,7780,3613,15543,40584,1379958,6357,25062,,926,17781,10418,1360,668
2020/5/13,383,10466,4155,11735,3744,71047,20157,34333,6485,6741,41892,34806,152,633,12897,2293,83016,25117,7238,6849,32035,79332,34061,1477,48017,12488,10252,,9908,461,8130,15617,1570,8692,3239,140539,5209,3204,6311,344455,25250,4725,3350,61295,2299,11614,7902,3663,16107,41719,1402635,6432,25794,,927,17983,10610,1376,674
