,state_name:,county:,5/16,5/17
1572,OH,Crawford,94,94
1573,OH,Cuyahoga,3223,3223
1574,OH,Darke,111,111
1575,OH,Defiance,25,25
1576,OH,Delaware,257,257
1577,OH,Erie,97,97
1578,OH,Fairfield,203,203
1579,OH,Fayette,30,30
1580,OH,Franklin,4420,4420
1581,OH,Fulton,34,34
1582,OH,Gallia,7,7
1583,OH,Geauga,220,220
1584,OH,Greene,75,75
1585,OH,Hamilton,2007,2007
1586,OH,Hancock,45,45
1587,OH,Highland,14,14
1588,OH,Holmes,10,10
1589,OH,Huron,40,40
1590,OH,Jefferson,59,59
1591,OH,Knox,21,21
1592,OH,Lake,219,219
1593,OH,Lawrence,27,27
1594,OH,Licking,184,184
1595,OH,Logan,24,24
1596,OH,Lorain,589,589
1597,OH,Lucas,1945,1945
1598,OH,Madison,98,98
1599,OH,Mahoning,1199,1199
1600,OH,Marion,2449,2449
1601,OH,Medina,212,212
1602,OH,Mercer,121,121
1603,OH,Miami,327,327
1604,OH,Montgomery,500,500
1605,OH,Morrow,97,97
1606,OH,Muskingum,34,34
1607,OH,Ottawa,65,65
1608,OH,Perry,15,15
1609,OH,Pickaway,2011,2011
1610,OH,Pike,5,5
1611,OH,Portage,290,290
1612,OH,Preble,28,28
1613,OH,Richland,155,155
1614,OH,Ross,58,58
1615,OH,Sandusky,56,56
1616,OH,Seneca,15,15
1617,OH,Shelby,34,34
1618,OH,Stark,553,553
1619,OH,Summit,995,995
1620,OH,Trumbull,447,447
1621,OH,Tuscarawas,258,258
1622,OH,Union,31,31
1623,OH,Van Wert,4,4
1624,OH,Warren,269,269
1625,OH,Washington,116,116
1626,OH,Wayne,200,200
1627,OH,Wood,241,241
1628,OH,Wyandot,29,29
1629,OK,Adair,74,74
1630,OK,Beckham,6,6
1631,OK,Bryan,13,13
1632,OK,Caddo,112,112
1633,OK,Canadian,116,116
1634,OK,Carter,8,8
1635,OK,Cherokee,29,29
1636,OK,Choctaw,3,3
1637,OK,Cleveland,466,466
1638,OK,Comanche,215,215
1639,OK,Cotton,5,5
1640,OK,Craig,13,13
1641,OK,Creek,83,83
1642,OK,Custer,12,12
1643,OK,Delaware,95,95
1644,OK,Garfield,23,23
1645,OK,Garvin,15,15
1646,OK,Grady,64,64
1647,OK,Greer,66,66
1648,OK,Jackson,21,21
1649,OK,Kay,49,49
1650,OK,Latimer,5,5
1651,OK,Le Flore,13,13
1652,OK,Lincoln,18,18
1653,OK,Logan,18,18
1654,OK,Love,3,3
1655,OK,Mayes,28,28
1656,OK,Mcclain,86,86
1657,OK,Muskogee,29,29
1658,OK,Noble,7,7
1659,OK,Nowata,23,23
1660,OK,Oklahoma,1070,1070
1661,OK,Okmulgee,18,18
1662,OK,Osage,91,91
1663,OK,Ottawa,34,34
1664,OK,Out-of-State,0,0
1665,OK,Pawnee,29,29
1666,OK,Payne,45,45
1667,OK,Pittsburg,38,38
1668,OK,Pontotoc,11,11
1669,OK,Pottawatomie,56,56
1670,OK,Rogers,72,72
1671,OK,Seminole,21,21
1672,OK,Sequoyah,14,14
1673,OK,Stephens,24,24
1674,OK,Texas,658,658
1675,OK,Tulsa,776,776
1676,OK,Wagoner,136,136
1677,OK,Washington,302,302
1678,OR,Benton,51,51
1679,OR,Clackamas,281,281
1680,OR,Clatsop,37,37
1681,OR,Columbia,16,16
1682,OR,Deschutes,95,95
1683,OR,Douglas,24,24
1684,OR,Grant,1,1
1685,OR,Hood River,14,14
1686,OR,Jackson,50,50
1687,OR,Josephine,25,25
1688,OR,Klamath,41,41
1689,OR,Lane,64,64
1690,OR,Lincoln,7,7
1691,OR,Linn,110,110
1692,OR,Malheur,19,19
1693,OR,Marion,824,824
1694,OR,Morrow,12,12
1695,OR,Multnomah,979,979
1696,OR,Polk,92,92
1697,OR,Tillamook,6,6
1698,OR,Umatilla,93,93
1699,OR,Union,5,5
1700,OR,Wallowa,1,1
1701,OR,Wasco,18,18
1702,OR,Washington,628,628
1703,OR,Yamhill,57,57
1704,PA,Adams,185,185
1705,PA,Allegheny,1595,1595
1706,PA,Armstrong,58,58
1707,PA,Beaver,518,518
1708,PA,Bedford,32,32
1709,PA,Berks,3643,3643
1710,PA,Blair,34,34
1711,PA,Bradford,41,41
1712,PA,Bucks,4391,4391
1713,PA,Butler,202,202
1714,PA,Cambria,53,53
1715,PA,Cameron,2,2
1716,PA,Carbon,210,210
1717,PA,Centre,129,129
1718,PA,Chester,2100,2100
1719,PA,Clarion,24,24
1720,PA,Clearfield,33,33
1721,PA,Columbia,336,336
1722,PA,Crawford,21,21
1723,PA,Cumberland,515,515
1724,PA,Dauphin,938,938
1725,PA,Delaware,5555,5555
1726,PA,Erie,134,134
1727,PA,Fayette,88,88
1728,PA,Franklin,601,601
1729,PA,Greene,27,27
1730,PA,Huntingdon,208,208
1731,PA,Indiana,84,84
1732,PA,Juniata,94,94
1733,PA,Lackawanna,1327,1327
1734,PA,Lancaster,2470,2470
1735,PA,Lawrence,72,72
1736,PA,Lebanon,873,873
1737,PA,Lehigh,3440,3440
1738,PA,Luzerne,2513,2513
1739,PA,Lycoming,146,146
1740,PA,McKean,10,10
1741,PA,Mercer,91,91
1742,PA,Mifflin,57,57
1743,PA,Monroe,1248,1248
1744,PA,Montgomery,5797,5797
1745,PA,Montour,50,50
1746,PA,Northampton,2659,2659
1747,PA,Northumberland,139,139
1748,PA,Perry,40,40
1749,PA,Philadelphia,19606,19606
1750,PA,Pike,460,460
1751,PA,Potter,4,4
1752,PA,Schuylkill,512,512
1753,PA,Snyder,33,33
1754,PA,Somerset,32,32
1755,PA,Susquehanna,83,83
1756,PA,Tioga,16,16
1757,PA,Union,46,46
1758,PA,Venango,7,7
1759,PA,Warren,2,2
1760,PA,Washington,130,130
1761,PA,Wayne,108,108
1762,PA,Westmoreland,423,423
1763,PA,Forest,7,7
1764,PR,Puerto Rico,2589,2646
1765,RI,Bristol,172,172
1766,RI,Kent,883,883
1767,RI,Newport,197,197
1768,RI,Providence,9112,9112
1769,RI,Unassigned,1645,1645
1770,RI,Washington,425,425
1771,SC,Abbeville,34,34
1772,SC,Aiken,150,150
1773,SC,Allendale,31,31
1774,SC,Anderson,206,206
1775,SC,Bamberg,16,16
1776,SC,Barnwell,40,40
1777,SC,Beaufort,291,291
1778,SC,Berkeley,203,203
1779,SC,Calhoun,9,9
1780,SC,Charleston,506,506
1781,SC,Chester,41,41
1782,SC,Chesterfield,94,94
1783,SC,Clarendon,274,274
1784,SC,Colleton,51,51
1785,SC,Darlington,212,212
1786,SC,Dillon,124,124
1787,SC,Dorchester,111,111
